book_id,goodreads_book_id,best_book_id,work_id,books_count,isbn,isbn13,authors,original_publication_year,original_title,title,language_code,image_url,small_image_url
447,2248573,2248573,3124969,143,375826726,9.78038E+12,Christopher Paolini,2008,Brisingr,"Brisingr (The Inheritance Cycle, #3)",eng,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png
448,56495,56495,2265235,149,310276993,9.78031E+12,Rick Warren,2002,The Purpose Driven Life: What on Earth am I Here For?,The Purpose Driven Life: What on Earth Am I Here for?,en-US,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png
449,676924,676924,662923,80,312360282,9.78031E+12,"P.C. Cast, Kristin Cast",2007,Betrayed: a House of Night Novel,"Betrayed (House of Night, #2)",en-US,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png
450,47212,47212,1137060,75,451457811,9.78045E+12,Jim Butcher,2000,Storm Front,"Storm Front (The Dresden Files, #1)",en-US,https://images.gr-assets.com/books/1419456275m/47212.jpg,https://images.gr-assets.com/books/1419456275s/47212.jpg
451,50398,50398,4039699,122,1593082649,9.78159E+12,"Jane Austen, Alfred MacAdam",1817,Northanger Abbey,Northanger Abbey,eng,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png
452,16101128,16101128,19187812,102,399162410,9.7804E+12,Rick Yancey,2013,The 5th Wave,"The 5th Wave (The 5th Wave, #1)",eng,https://images.gr-assets.com/books/1359853842m/16101128.jpg,https://images.gr-assets.com/books/1359853842s/16101128.jpg
453,10920,10920,1006369,97,802142842,9.7808E+12,Charles Frazier,1997,Cold Mountain,Cold Mountain,en-US,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png
454,767680,767680,3132746,41,60245867,9.78006E+12,"Laura Joffe Numeroff, Felicia Bond",1985,If You Give a Mouse a Cookie,If You Give a Mouse a Cookie,en-US,https://images.gr-assets.com/books/1276046901m/767680.jpg,https://images.gr-assets.com/books/1276046901s/767680.jpg
455,42155,42155,1470371,43,312323867,9.78031E+12,Emily Giffin,2005,Something Blue,"Something Blue (Darcy & Rachel, #2)",en-US,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png
456,12220,12220,142449,109,822210894,9.78082E+12,Tennessee Williams,1947,A Streetcar Named Desire,A Streetcar Named Desire,eng,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png
457,10692,10692,3061272,129,751537284,9.78075E+12,Elizabeth Kostova,2005,The Historian,The Historian,eng,https://images.gr-assets.com/books/1338298031m/10692.jpg,https://images.gr-assets.com/books/1338298031s/10692.jpg
458,20170404,20170404,28098716,63,385353308,9.78039E+12,Emily St. John Mandel,2014,Station Eleven,Station Eleven,eng,https://images.gr-assets.com/books/1451446835m/20170404.jpg,https://images.gr-assets.com/books/1451446835s/20170404.jpg
459,18774964,18774964,21619954,132,1476738017,9.78148E+12,"Fredrik Backman, Henning Koch",2012,En man som heter Ove,A Man Called Ove,eng,https://images.gr-assets.com/books/1405259930m/18774964.jpg,https://images.gr-assets.com/books/1405259930s/18774964.jpg
460,18335634,18335634,6309710,79,1406321346,9.78141E+12,Cassandra Clare,2013,Clockwork Princess,"Clockwork Princess (The Infernal Devices, #3)",eng,https://images.gr-assets.com/books/1436788488m/18335634.jpg,https://images.gr-assets.com/books/1436788488s/18335634.jpg
461,1078,1078,2346070,210,1416500189,9.78142E+12,Pearl S. Buck,1931,The Good Earth,"The Good Earth (House of Earth, #1)",eng,https://images.gr-assets.com/books/1312497600m/1078.jpg,https://images.gr-assets.com/books/1312497600s/1078.jpg
462,2784,2784,2507145,34,140135154,9.78014E+12,John Berger,1972,Ways of Seeing,Ways of Seeing,eng,https://images.gr-assets.com/books/1464018308m/2784.jpg,https://images.gr-assets.com/books/1464018308s/2784.jpg
463,5364,5364,2866304,141,385335970,9.78039E+12,Diana Gabaldon,1992,Dragonfly in Amber,"Dragonfly in Amber (Outlander, #2)",eng,https://images.gr-assets.com/books/1456114344m/5364.jpg,https://images.gr-assets.com/books/1456114344s/5364.jpg
464,1923820,1923820,6405906,1449,,,Anonymous,1611,,Holy Bible: King James Version,eng,https://images.gr-assets.com/books/1313518530m/1923820.jpg,https://images.gr-assets.com/books/1313518530s/1923820.jpg
465,14758,14758,964332,53,743495667,9.78074E+12,Jennifer Weiner,2002,In Her Shoes,In Her Shoes,,https://images.gr-assets.com/books/1435252471m/14758.jpg,https://images.gr-assets.com/books/1435252471s/14758.jpg
466,659469,659469,16998382,44,345368584,9.78035E+12,"Chuck Dixon, J.R.R. Tolkien, David Wenzel, Sean Deming",1989,The Hobbit,The Hobbit: Graphic Novel,eng,https://images.gr-assets.com/books/1374681632m/659469.jpg,https://images.gr-assets.com/books/1374681632s/659469.jpg
467,297673,297673,3281466,9,1594489580,9.78159E+12,Junot DÃÂ­az,2007,The Brief Wondrous Life of Oscar Wao,The Brief Wondrous Life of Oscar Wao,eng,https://images.gr-assets.com/books/1391409748m/297673.jpg,https://images.gr-assets.com/books/1391409748s/297673.jpg
468,37415,37415,1643555,80,61120065,9.78006E+12,Zora Neale Hurston,1937,Their Eyes Were Watching God,Their Eyes Were Watching God,eng,https://images.gr-assets.com/books/1368072803m/37415.jpg,https://images.gr-assets.com/books/1368072803s/37415.jpg
469,41899,41899,4195128,123,439321603,9.78044E+12,"Newt Scamander, J.K. Rowling, Albus Dumbledore",2001,Fantastic Beasts and Where to Find Them,Fantastic Beasts and Where to Find Them,eng,https://images.gr-assets.com/books/1303738520m/41899.jpg,https://images.gr-assets.com/books/1303738520s/41899.jpg
470,17851885,17851885,24987300,129,316322407,9.78032E+12,"Malala Yousafzai, Christina Lamb",2012,I Am Malala: The Girl Who Stood Up for Education and Was Shot by the Taliban,I Am Malala: The Story of the Girl Who Stood Up for Education and Was Shot by the Taliban,eng,https://images.gr-assets.com/books/1375414895m/17851885.jpg,https://images.gr-assets.com/books/1375414895s/17851885.jpg
471,45032,45032,2722329,1208,141439807,9.78014E+12,"Jane Austen, Kathryn Sutherland, Tony Tanner, Claire Lamont",1814,Mansfield Park,Mansfield Park,eng,https://images.gr-assets.com/books/1397063295m/45032.jpg,https://images.gr-assets.com/books/1397063295s/45032.jpg
472,4069,4069,3389674,187,080701429X,9.78081E+12,Viktor E. Frankl,1946,Ã¢ÂÂ¦trotzdem Ja zum Leben sagen: Ein Psychologe erlebt das Konzentrationslager,Man's Search for Meaning,eng,https://images.gr-assets.com/books/1467136625m/4069.jpg,https://images.gr-assets.com/books/1467136625s/4069.jpg
473,237209,237209,3088141,78,670038601,9.78067E+12,Tana French,2007,In the Woods,"In the Woods (Dublin Murder Squad, #1)",eng,https://images.gr-assets.com/books/1348442606m/237209.jpg,https://images.gr-assets.com/books/1348442606s/237209.jpg
474,14743,14743,3044365,104,618680004,9.78062E+12,Richard Dawkins,2006,The God Delusion,The God Delusion,eng,https://images.gr-assets.com/books/1347220693m/14743.jpg,https://images.gr-assets.com/books/1347220693s/14743.jpg
475,8492825,8492825,10706553,8,525422943,9.78053E+12,Gayle Forman,2011,Where She Went,"Where She Went (If I Stay, #2)",en-US,https://images.gr-assets.com/books/1347810457m/8492825.jpg,https://images.gr-assets.com/books/1347810457s/8492825.jpg
476,7069,7069,1028204,165,345915593,9.78035E+12,John Irving,1978,The World According to Garp,The World According to Garp,eng,https://images.gr-assets.com/books/1447234581m/7069.jpg,https://images.gr-assets.com/books/1447234581s/7069.jpg
477,78129,78129,4511038,127,515141429,9.78052E+12,Lee Child,1997,Killing Floor,"Killing Floor (Jack Reacher, #1)",eng,https://images.gr-assets.com/books/1399313258m/78129.jpg,https://images.gr-assets.com/books/1399313258s/78129.jpg
478,2932,2932,604666,558,375757325,9.78038E+12,"Daniel Defoe, Gerald McCann, Virginia Woolf",1719,"The Life and Strange Surprising Adventures of Robinson Crusoe of York, Mariner",Robinson Crusoe,eng,https://images.gr-assets.com/books/1403180114m/2932.jpg,https://images.gr-assets.com/books/1403180114s/2932.jpg
479,28862,28862,1335445,1654,937832383,9.78094E+12,"NiccolÃÂ² Machiavelli, Adolph Caso, Rufus Goodwin, Benjamin Martinez",1513,Il Principe,The Prince,eng,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png
480,18122,18122,1774510,42,440238153,9.78044E+12,Philip Pullman,2000,The Amber Spyglass,"The Amber Spyglass (His Dark Materials, #3)",eng,https://images.gr-assets.com/books/1329189152m/18122.jpg,https://images.gr-assets.com/books/1329189152s/18122.jpg
481,43889,43889,1323305,90,765346524,9.78077E+12,Terry Goodkind,1994,Wizard's First Rule,"Wizard's First Rule (Sword of Truth, #1)",eng,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png
482,6837103,6837103,7048306,46,1439153663,9.78144E+12,Kathleen Grissom,2010,The Kitchen House,The Kitchen House,en-CA,https://images.gr-assets.com/books/1463229128m/6837103.jpg,https://images.gr-assets.com/books/1463229128s/6837103.jpg
483,5113,5113,3118417,125,316769029,9.78032E+12,J.D. Salinger,1961,Franny and Zooey,Franny and Zooey,en-US,https://images.gr-assets.com/books/1355037988m/5113.jpg,https://images.gr-assets.com/books/1355037988s/5113.jpg
484,29059,29059,3185242,84,385720920,9.78039E+12,Chuck Palahniuk,2001,Choke,Choke,eng,https://images.gr-assets.com/books/1403186013m/29059.jpg,https://images.gr-assets.com/books/1403186013s/29059.jpg
485,4934,4934,3393910,1072,374528373,9.78037E+12,"Fyodor Dostoyevsky, Richard Pevear, Larissa Volokhonsky",1880,ÃÂÃÂÃÂ°ÃÂÃÂÃÂ ÃÂÃÂ°ÃÂÃÂ°ÃÂ¼ÃÂ°ÃÂ·ÃÂ¾ÃÂ²ÃÂ,The Brothers Karamazov,eng,https://images.gr-assets.com/books/1427728126m/4934.jpg,https://images.gr-assets.com/books/1427728126s/4934.jpg
486,307791,307791,2285229,69,375822747,9.78038E+12,Jeanne DuPrau,2003,The City of Ember,"The City of Ember (Book of Ember, #1)",eng,https://images.gr-assets.com/books/1397931596m/307791.jpg,https://images.gr-assets.com/books/1397931596s/307791.jpg
487,7670,7670,997271,122,60541814,9.78006E+12,Michael Crichton,1969,The Andromeda Strain,The Andromeda Strain,,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png
488,11566,11566,15599,162,451933028,9.78045E+12,Stephen King,1996,The Green Mile,The Green Mile,eng,https://images.gr-assets.com/books/1373903563m/11566.jpg,https://images.gr-assets.com/books/1373903563s/11566.jpg
489,2547,2547,2938937,721,000100039X,9.78E+12,Kahlil Gibran,1923,The Prophet,The Prophet,eng,https://images.gr-assets.com/books/1355046521m/2547.jpg,https://images.gr-assets.com/books/1355046521s/2547.jpg
490,15196,15196,1947012,37,394541553,9.78039E+12,Art Spiegelman,1985,Maus: A Survivor's Tale : My Father Bleeds History,"Maus I: A Survivor's Tale: My Father Bleeds History (Maus, #1)",eng,https://images.gr-assets.com/books/1327884972m/15196.jpg,https://images.gr-assets.com/books/1327884972s/15196.jpg
491,2866718,2866718,2892871,67,312379838,9.78031E+12,"P.C. Cast, Kristin Cast",2008,Untamed: A House of Night Novel,"Untamed (House of Night, #4)",en-US,https://images.gr-assets.com/books/1438037020m/2866718.jpg,https://images.gr-assets.com/books/1438037020s/2866718.jpg
492,7967,7967,2327777,99,812550757,9.78081E+12,Orson Scott Card,1986,Speaker for the Dead,"Speaker for the Dead (Ender's Saga, #2)",en-US,https://images.gr-assets.com/books/1295660894m/7967.jpg,https://images.gr-assets.com/books/1295660894s/7967.jpg
493,11138,11138,801500,152,684823780,9.78068E+12,C.S. Lewis,1952,Mere Christianity,Mere Christianity,eng,https://images.gr-assets.com/books/1468102872m/11138.jpg,https://images.gr-assets.com/books/1468102872s/11138.jpg
494,29044,29044,221359,141,1400031702,9.7814E+12,Donna Tartt,1992,The Secret History,The Secret History,eng,https://images.gr-assets.com/books/1451554846m/29044.jpg,https://images.gr-assets.com/books/1451554846s/29044.jpg
495,4953,4953,42857,65,375725784,9.78038E+12,Dave Eggers,2000,A Heartbreaking Work of Staggering Genius,A Heartbreaking Work of Staggering Genius,eng,https://images.gr-assets.com/books/1327714834m/4953.jpg,https://images.gr-assets.com/books/1327714834s/4953.jpg
496,1295,1295,1584694,161,553381679,9.78055E+12,Jean M. Auel,1980,The Clan of the Cave Bear,"The Clan of the Cave Bear (Earth's Children, #1)",eng,https://images.gr-assets.com/books/1385331302m/1295.jpg,https://images.gr-assets.com/books/1385331302s/1295.jpg
497,3685,3685,4639714,1033,439228905,9.78044E+12,Anna Sewell,1877,Black Beauty,Black Beauty,eng,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png
498,656,656,4912783,1017,192833987,9.78019E+12,"Leo Tolstoy, Henry Gifford, Aylmer Maude, Louise Maude",1869,ÃÂÃÂ¾ÃÂ¹ÃÂ½ÃÂ° ÃÂ¸ ÃÂ¼ÃÂ¸ÃÂÃÂ,War and Peace,eng,https://images.gr-assets.com/books/1413215930m/656.jpg,https://images.gr-assets.com/books/1413215930s/656.jpg
499,28676,28676,2270060,144,679735771,9.78068E+12,Bret Easton Ellis,1991,American Psycho,American Psycho,eng,https://images.gr-assets.com/books/1436934349m/28676.jpg,https://images.gr-assets.com/books/1436934349s/28676.jpg
500,38980,38980,2073907,125,613371658,9.78061E+12,Meg Cabot,2000,The Princess Diaries,"The Princess Diaries (The Princess Diaries, #1)",eng,https://images.gr-assets.com/books/1355011082m/38980.jpg,https://images.gr-assets.com/books/1355011082s/38980.jpg
501,7061,7061,826298,108,1400034779,9.7814E+12,Alexander McCall Smith,1998,The No. 1 Ladies' Detective Agency ,"The No. 1 Ladies' Detective Agency  (No. 1 Ladies' Detective Agency, #1)",eng,https://images.gr-assets.com/books/1459953654m/7061.jpg,https://images.gr-assets.com/books/1459953654s/7061.jpg
502,138398,138398,30474,36,1582406723,9.78158E+12,"Robert Kirkman, Tony Moore",2004,"The Walking Dead, Vol. 1: Days Gone Bye","The Walking Dead, Vol. 01: Days Gone Bye",en-GB,https://images.gr-assets.com/books/1389233242m/138398.jpg,https://images.gr-assets.com/books/1389233242s/138398.jpg
503,70535,70535,208362,221,451457994,9.78045E+12,Arthur C. Clarke,1968,2001: A Space Odyssey,"2001: A Space Odyssey (Space Odyssey, #1)",eng,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png
504,11422,11422,820210,63,1590525132,9.78159E+12,Francine Rivers,1991,,Redeeming Love,eng,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png
505,27523,27523,972769,63,842342702,9.78084E+12,"Tim LaHaye, Jerry B. Jenkins",1995,Left Behind:  A Novel of the Earth's Last Days,"Left Behind (Left Behind, #1)",eng,https://images.gr-assets.com/books/1406505054m/27523.jpg,https://images.gr-assets.com/books/1406505054s/27523.jpg
506,18635016,18635016,21587145,94,62059998,9.78006E+12,Kiera Cass,2014,The One,"The One (The Selection, #3)",eng,https://images.gr-assets.com/books/1395612906m/18635016.jpg,https://images.gr-assets.com/books/1395612906s/18635016.jpg
507,7938275,7938275,11349083,78,545265355,9.78055E+12,Suzanne Collins,2010,The Hunger Games Box Set,"The Hunger Games Trilogy Boxset (The Hunger Games, #1-3)",eng,https://images.gr-assets.com/books/1360094673m/7938275.jpg,https://images.gr-assets.com/books/1360094673s/7938275.jpg
508,1869,1869,1840613,57,805063897,9.78081E+12,Barbara Ehrenreich,2001,Nickel and Dimed: On (Not) Getting By in America,Nickel and Dimed: On (Not) Getting By in America,eng,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png
509,1358844,1358844,2855627,90,593053893,9.78059E+12,Sophie Kinsella,2008,Remember Me?,Remember Me?,eng,https://images.gr-assets.com/books/1276963901m/1358844.jpg,https://images.gr-assets.com/books/1276963901s/1358844.jpg
510,233649,233649,1574475,71,812517725,9.78081E+12,Robert Jordan,1990,The Great Hunt,"The Great Hunt (Wheel of Time, #2)",en-US,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png
511,6534,6534,1045067,129,743477154,9.78074E+12,Patricia Cornwell,1990,Post-Mortem:  A Mystery Introducing Dr. Kay Scarpetta,"Postmortem (Kay Scarpetta, #1)",eng,https://images.gr-assets.com/books/1341835831m/6534.jpg,https://images.gr-assets.com/books/1341835831s/6534.jpg
512,23919,23919,30431,34,385074077,9.78039E+12,Edgar Allan Poe,1849,The Complete Tales of Edgar Allan Poe,The Complete Stories and Poems,en-US,https://images.gr-assets.com/books/1327942676m/23919.jpg,https://images.gr-assets.com/books/1327942676s/23919.jpg
513,561909,561909,878114,83,553256696,9.78055E+12,"Corrie ten Boom, John Sherrill, Elizabeth Sherrill",1971,The Hiding Place,The Hiding Place: The Triumphant True Story of Corrie Ten Boom,en-US,https://images.gr-assets.com/books/1320418824m/561909.jpg,https://images.gr-assets.com/books/1320418824s/561909.jpg
514,3590,3590,1222101,1235,192835084,9.78019E+12,Arthur Conan Doyle,1892,The Adventures of Sherlock Holmes,The Adventures of Sherlock Holmes,eng,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png
515,16735,16735,1312477,80,553381547,9.78055E+12,Pat Conroy,1986,The Prince of Tides,The Prince of Tides,eng,https://images.gr-assets.com/books/1320541074m/16735.jpg,https://images.gr-assets.com/books/1320541074s/16735.jpg
516,3985,3985,2693329,80,312282990,9.78031E+12,Michael Chabon,2000,The Amazing Adventures of Kavalier & Clay,The Amazing Adventures of Kavalier & Clay,eng,https://images.gr-assets.com/books/1479660066m/3985.jpg,https://images.gr-assets.com/books/1479660066s/3985.jpg
517,4268157,4268157,4315675,52,802798233,9.7808E+12,Simone Elkeles,2008,Perfect Chemistry,"Perfect Chemistry (Perfect Chemistry, #1)",eng,https://images.gr-assets.com/books/1439792475m/4268157.jpg,https://images.gr-assets.com/books/1439792475s/4268157.jpg
518,34268,34268,1358908,1416,805072454,9.78081E+12,"J.M. Barrie, Michael Hague",1904,Peter Pan,Peter Pan,en-US,https://images.gr-assets.com/books/1337714526m/34268.jpg,https://images.gr-assets.com/books/1337714526s/34268.jpg
519,24768,24768,1568076,78,689865392,9.78069E+12,Scott Westerfeld,2005,Pretties,"Pretties (Uglies, #2)",eng,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png
520,11275,11275,2531376,125,965341984,9.78097E+12,"Haruki Murakami, Jay Rubin",1994,Ã£ÂÂ­Ã£ÂÂÃ£ÂÂ¾Ã£ÂÂÃ©Â³Â¥Ã£ÂÂ¯Ã£ÂÂ­Ã£ÂÂÃ£ÂÂ¯Ã£ÂÂ« [Nejimakidori kuronikuru],The Wind-Up Bird Chronicle,eng,https://images.gr-assets.com/books/1327872639m/11275.jpg,https://images.gr-assets.com/books/1327872639s/11275.jpg
521,79885,79885,1427801,123,739465511,9.78074E+12,Michael Connelly,2005,The Lincoln Lawyer ,"The Lincoln Lawyer (Mickey Haller, #1; Harry Bosch Universe, #16)",eng,https://images.gr-assets.com/books/1370140049m/79885.jpg,https://images.gr-assets.com/books/1370140049s/79885.jpg
522,49628,49628,1871423,113,375507256,9.78038E+12,David Mitchell,2004,Cloud Atlas,Cloud Atlas,eng,https://images.gr-assets.com/books/1406383769m/49628.jpg,https://images.gr-assets.com/books/1406383769s/49628.jpg
523,133518,133518,1235619,56,767902890,9.78077E+12,Tim O'Brien,1990,The Things They Carried,The Things They Carried,en-US,https://images.gr-assets.com/books/1424663847m/133518.jpg,https://images.gr-assets.com/books/1424663847s/133518.jpg
524,114683,114683,110426,15,1844137872,9.78184E+12,Banksy,1988,Wall and Piece,Wall and Piece,eng,https://images.gr-assets.com/books/1327904853m/114683.jpg,https://images.gr-assets.com/books/1327904853s/114683.jpg
525,9593911,9593911,14480923,76,006197806X,9.78006E+12,Lauren Oliver,2012,Pandemonium,"Pandemonium (Delirium, #2)",eng,https://images.gr-assets.com/books/1310371414m/9593911.jpg,https://images.gr-assets.com/books/1310371414s/9593911.jpg
526,17231,17231,2113743,95,307277887,9.78031E+12,Jeff Lindsay,2004,Darkly Dreaming Dexter,"Darkly Dreaming Dexter (Dexter, #1)",eng,https://images.gr-assets.com/books/1334404607m/17231.jpg,https://images.gr-assets.com/books/1334404607s/17231.jpg
527,110494,110494,738775,97,1841493007,9.78184E+12,Charlaine Harris,2002,Living Dead in Dallas,"Living Dead in Dallas (Sookie Stackhouse, #2)",eng,https://images.gr-assets.com/books/1329501808m/110494.jpg,https://images.gr-assets.com/books/1329501808s/110494.jpg
528,34897,34897,791061,62,765305119,9.78077E+12,Robert Jordan,1991,The Dragon Reborn ,"The Dragon Reborn (Wheel of Time, #3)",eng,https://images.gr-assets.com/books/1480096580m/34897.jpg,https://images.gr-assets.com/books/1480096580s/34897.jpg
529,7733,7733,2394716,1762,141439491,9.78014E+12,"Jonathan Swift, Robert DeMaria Jr.",1726,GulliverÃ¢ÂÂs Travels,Gulliver's Travels,eng,https://images.gr-assets.com/books/1427829692m/7733.jpg,https://images.gr-assets.com/books/1427829692s/7733.jpg
530,12957,12957,2080738,805,743482751,9.78074E+12,"William Shakespeare, Barbara A. Mowat, Paul Werstine, Gail Kern Paster, Robert          Jackson",1598,Much Ado About Nothing,Much Ado About Nothing,eng,https://images.gr-assets.com/books/1327885569m/12957.jpg,https://images.gr-assets.com/books/1327885569s/12957.jpg
531,52357,52357,189503,601,393320979,9.78039E+12,"Unknown, Seamus Heaney",975,Beowulf,Beowulf,en-US,https://images.gr-assets.com/books/1327878125m/52357.jpg,https://images.gr-assets.com/books/1327878125s/52357.jpg
532,59980,59980,2501570,74,1401207529,9.7814E+12,"Frank Miller, David Mazzucchelli, Richmond Lewis, Dennis O'Neil",1987,Batman: Year One,Batman: Year One,eng,https://images.gr-assets.com/books/1327940389m/59980.jpg,https://images.gr-assets.com/books/1327940389s/59980.jpg
533,24817626,24817626,44458285,102,62409859,9.78006E+12,Harper Lee,2015,Go Set a Watchman,Go Set a Watchman,eng,https://images.gr-assets.com/books/1451442088m/24817626.jpg,https://images.gr-assets.com/books/1451442088s/24817626.jpg
534,1044355,1044355,3255908,47,316143472,9.78032E+12,David Sedaris,2008,When You Are Engulfed in Flames,When You Are Engulfed in Flames,en-US,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png
535,8490112,8490112,13355552,89,316134023,9.78032E+12,Laini Taylor,2011,Daughter of Smoke & Bone,"Daughter of Smoke & Bone (Daughter of Smoke & Bone, #1)",eng,https://images.gr-assets.com/books/1461353773m/8490112.jpg,https://images.gr-assets.com/books/1461353773s/8490112.jpg
536,17878931,22328546,25037051,84,1409151174,9.78141E+12,Victoria Aveyard,2015,Red Queen,"Red Queen (Red Queen, #1)",eng,https://images.gr-assets.com/books/1411472322m/17878931.jpg,https://images.gr-assets.com/books/1411472322s/17878931.jpg
537,12609433,12609433,17624817,92,1400069289,9.7814E+12,Charles Duhigg,2011,The Power of Habit,The Power of Habit: Why We Do What We Do in Life and Business,eng,https://images.gr-assets.com/books/1366758683m/12609433.jpg,https://images.gr-assets.com/books/1366758683s/12609433.jpg
538,386187,386187,300461,76,679751521,9.78068E+12,John Berendt,1994,Midnight in the Garden of Good and Evil,Midnight in the Garden of Good and Evil,eng,https://images.gr-assets.com/books/1427166915m/386187.jpg,https://images.gr-assets.com/books/1427166915s/386187.jpg
539,15717943,15717943,21389085,53,1301949825,9.7813E+12,Colleen Hoover,2012,Hopeless,"Hopeless (Hopeless, #1)",eng,https://images.gr-assets.com/books/1353489892m/15717943.jpg,https://images.gr-assets.com/books/1353489892s/15717943.jpg
540,3008,3008,1313599,11,142437018,9.78014E+12,"Frances Hodgson Burnett, Nancy Bond",1905,A Little Princess,A Little Princess,eng,https://images.gr-assets.com/books/1327868556m/3008.jpg,https://images.gr-assets.com/books/1327868556s/3008.jpg
541,51737,51737,1032900,45,142406252,9.78014E+12,Sarah Dessen,2004,The Truth About Forever,The Truth About Forever,en-US,https://images.gr-assets.com/books/1362767907m/51737.jpg,https://images.gr-assets.com/books/1362767907s/51737.jpg
542,84119,84119,3294501,280,439861365,9.78044E+12,C.S. Lewis,1954,The horse and his boy,"The Horse and His Boy (Chronicles of Narnia, #5)",eng,https://images.gr-assets.com/books/1388210968m/84119.jpg,https://images.gr-assets.com/books/1388210968s/84119.jpg
543,6527740,6527740,13385418,63,1595143068,9.7816E+12,Richelle Mead,2010,Last Sacrifice ,"Last Sacrifice (Vampire Academy, #6)",eng,https://images.gr-assets.com/books/1319850978m/6527740.jpg,https://images.gr-assets.com/books/1319850978s/6527740.jpg
544,77767,77767,2884161,146,64400026,9.78006E+12,"Laura Ingalls Wilder, Garth Williams",1935,Little House on the Prairie,"Little House on the Prairie (Little House, #2)",eng,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png
545,144974,144974,1602074,383,380002558,9.78038E+12,"Margery Williams Bianco, William   Nicholson",1922,The Velveteen Rabbit,The Velveteen Rabbit,eng,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png
546,629,629,175720,181,60589469,9.78006E+12,Robert M. Pirsig,1974,Zen and the Art of Motorcycle Maintenance,Zen and the Art of Motorcycle Maintenance: An Inquiry Into Values,eng,https://images.gr-assets.com/books/1410136019m/629.jpg,https://images.gr-assets.com/books/1410136019s/629.jpg
